date,open,high,low,close,volume,oi,source
2026-03-30T15:05:00+05:30,27.93,27.93,27.93,27.93,0,0,real
2026-03-30T15:06:00+05:30,27.88,27.88,27.88,27.88,0,0,real
2026-03-30T15:07:00+05:30,28.0,28.0,28.0,28.0,0,0,real
2026-03-30T15:08:00+05:30,28.01,28.01,28.01,28.01,0,0,real
2026-03-30T15:09:00+05:30,27.97,27.97,27.97,27.97,0,0,real
2026-03-30T15:10:00+05:30,27.97,27.97,27.97,27.97,0,0,real
2026-03-30T15:11:00+05:30,27.93,27.93,27.93,27.93,0,0,real
2026-03-30T15:12:00+05:30,27.9,27.9,27.9,27.9,0,0,real
2026-03-30T15:13:00+05:30,27.97,27.97,27.97,27.97,0,0,real
2026-03-30T15:14:00+05:30,27.95,27.95,27.95,27.95,0,0,real
2026-03-30T15:15:00+05:30,27.97,27.97,27.97,27.97,0,0,real
2026-03-30T15:16:00+05:30,27.92,27.92,27.92,27.92,0,0,real
2026-03-30T15:17:00+05:30,27.95,27.95,27.95,27.95,0,0,real
2026-03-30T15:18:00+05:30,27.9,27.9,27.9,27.9,0,0,real
2026-03-30T15:19:00+05:30,27.92,27.92,27.92,27.92,0,0,real
2026-03-30T15:20:00+05:30,27.87,27.87,27.87,27.87,0,0,real
2026-03-30T15:21:00+05:30,27.86,27.86,27.86,27.86,0,0,real
2026-03-30T15:22:00+05:30,27.82,27.82,27.82,27.82,0,0,real
2026-03-30T15:23:00+05:30,27.8,27.8,27.8,27.8,0,0,real
2026-03-30T15:24:00+05:30,27.86,27.86,27.86,27.86,0,0,real
2026-03-30T15:25:00+05:30,27.79,27.79,27.79,27.79,0,0,real
2026-03-30T15:26:00+05:30,27.83,27.83,27.83,27.83,0,0,real
2026-03-30T15:27:00+05:30,27.81,27.81,27.81,27.81,0,0,real
2026-03-30T15:28:00+05:30,27.8,27.8,27.8,27.8,0,0,real
2026-03-30T15:29:00+05:30,27.76,27.76,27.76,27.76,0,0,real
2026-04-01T09:15:00+05:30,25.37,25.37,25.37,25.37,0,0,real
2026-04-01T09:16:00+05:30,25.85,25.85,25.85,25.85,0,0,real
2026-04-01T09:17:00+05:30,25.54,25.54,25.54,25.54,0,0,real
2026-04-01T09:18:00+05:30,25.24,25.24,25.24,25.24,0,0,real
2026-04-01T09:19:00+05:30,25.13,25.13,25.13,25.13,0,0,real
2026-04-01T09:20:00+05:30,25.13,25.13,25.13,25.13,0,0,real
2026-04-01T09:21:00+05:30,25.03,25.03,25.03,25.03,0,0,real
2026-04-01T09:22:00+05:30,25.07,25.07,25.07,25.07,0,0,real
2026-04-01T09:23:00+05:30,25.13,25.13,25.13,25.13,0,0,real
2026-04-01T09:24:00+05:30,25.09,25.09,25.09,25.09,0,0,real
2026-04-01T09:25:00+05:30,24.94,24.94,24.94,24.94,0,0,real
2026-04-01T09:26:00+05:30,24.97,24.97,24.97,24.97,0,0,real
2026-04-01T09:27:00+05:30,24.89,24.89,24.89,24.89,0,0,real
2026-04-01T09:28:00+05:30,24.94,24.94,24.94,24.94,0,0,real
2026-04-01T09:29:00+05:30,24.94,24.94,24.94,24.94,0,0,real
2026-04-01T09:30:00+05:30,24.86,24.86,24.86,24.86,0,0,real
